name,standard_name,parent_company,country_hq,industry,involvement_types,data_sources,confidence_score
Apple Jacks,,Kellanova,,,,bdscoalition.ca,0
Appletiser,,Coca-Cola,,,,bdscoalition.ca,0
Apply Yourself Global,,,,,,bdscoalition.ca,0
ApplyToEducation,,,,,,bdscoalition.ca,0
Apsley Community Chapel,,,,,,bdscoalition.ca,0
Aptamil,,Danone S.A.,,,,bdscoalition.ca,0
Aqua Mineral,,Nestle,,,,bdscoalition.ca,0
Aqua Panna,,Nestle,,,,bdscoalition.ca,0
Aqua Pod,,Nestle,,,,bdscoalition.ca,0
Aqua Spring,,Nestle,,,,bdscoalition.ca,0
Aqua Water,,Danone S.A.,,,,bdscoalition.ca,0
Aquabona,,Coca-Cola,,,,bdscoalition.ca,0
Aquafina,,PepsiCo,,,,bdscoalition.ca,0
Aquaphor,,Beiersdorf,,,,bdscoalition.ca,0
Aquarel,,Nestle,,,,bdscoalition.ca,0
Aquarian Fish Food,,Mars,,,,bdscoalition.ca,0
Aquarius,,Coca-Cola,,,,bdscoalition.ca,0
Aquasavana,,Coca-Cola,,,,bdscoalition.ca,0
Aquaterra Water,,Primo Water Corp,,,,bdscoalition.ca,0
Aqwise- Wise Water Technologies,,,,,,bdscoalition.ca,0
Aramis,,Estee Lauder,,,,bdscoalition.ca,0
Arava Export Growers,,,,,,bdscoalition.ca,0
Arc Ventures,,,usa,,,bdscoalition.ca,0
Arch Ventures,,,usa,,,bdscoalition.ca,0
Archdiocese of Canada of the Orthodox Church in America,,Canadian Council of Churches,,,,bdscoalition.ca,0
Archerwill Investment Inc.,,,,,,bdscoalition.ca,0
Arconic/Howmet,,,,,,bdscoalition.ca,0
Arctic Water,,Nestle,,,,bdscoalition.ca,0
Ardbeg,,LVMH,,,,bdscoalition.ca,0
Ardell Beauty,,American International Industries,,,,bdscoalition.ca,0
Ariel,,Procter and Gamble,,,,bdscoalition.ca,0
Ariel Properties Group,,Electra,,,,bdscoalition.ca,0
Ariel University,,,,,,bdscoalition.ca,0
Ariela & Irwin Cotler,,,,,,bdscoalition.ca,0
Aristagora Venture Capital,,,,,,bdscoalition.ca,0
Arket,,H&M Group,,,,bdscoalition.ca,0
Armani Beauty,,Giorgio Armani S.p.A.,,,,bdscoalition.ca,0
Armani Exchange,,Giorgio Armani S.p.A.,,,,bdscoalition.ca,0
"Armenian Holy Apostolic Church, Canadian Diocese",,Canadian Council of Churches,,,,bdscoalition.ca,0
Armory Square Ventures,,,usa,,,bdscoalition.ca,0
Arnie & Pennie Cader,,,,,,bdscoalition.ca,0
Aroma Espresso Bar,,,,,,bdscoalition.ca,0
Aromat,,Unilever,,,,bdscoalition.ca,0
Arpegio Ventures,,,,,,bdscoalition.ca,0
Arrow Clothing,,Authentic Brands Group,,,,bdscoalition.ca,0
Arrow Electronics Canada Ltd,,,,,,bdscoalition.ca,0
Arrowhead Water,,Blue Triton,,,,bdscoalition.ca,0
Art Gallery of Ontario,,,,,,bdscoalition.ca,0
"Arthrex, Inc.",,,usa,,,bdscoalition.ca,0
Artico Ventures,,,usa,,,bdscoalition.ca,0
Arwa Water,,Coca-Cola,,,,bdscoalition.ca,0
Arza Winery T.R.Z.,,,,,,bdscoalition.ca,0
Ascend,,,usa,,,bdscoalition.ca,0
Ascendant Wealth Partners,,,,,,bdscoalition.ca,0
Ascendant Wealth Partners of RBC Dominion Securities,,,,,,bdscoalition.ca,0
ASCO Aerospace Canada,,,,,,bdscoalition.ca,0
Ashdar Building Company,,,,,,bdscoalition.ca,0
Ashford Cleaners,,,,,,bdscoalition.ca,0
Ashtrom Group Ltd.,Ashtrom Group Ltd,,Israel,Real Estate - General,"settlements, occupation","bdscoalition.ca, investigate.afsc.org",0.5
Asics,,Asics Corp.,,,,bdscoalition.ca,0
Askalon Extra Fine Special 80 Proof Arak KP,,,,,,bdscoalition.ca,0
Askalon VS Brandy KP,,,,,,bdscoalition.ca,0
Asobu,,,,,,bdscoalition.ca,0
Aspira Kensington Place,,,,,,bdscoalition.ca,0
Aspirin,,Bayer,,,,bdscoalition.ca,0
Assaf Winery,,,,,,bdscoalition.ca,0
Asseco Poland SA,Asseco Poland SA,,Poland,Software - Application,"settlements, occupation, military_support","bdscoalition.ca, investigate.afsc.org",0.5
Association of Christian Evangelical Ministries (2020),,Canadian Council of Churches,,,,bdscoalition.ca,0
AT PARTNERS Inc.,,,,,,bdscoalition.ca,0
at.inc/,,,usa,,,bdscoalition.ca,0
Athena,,Primo Water Corp,,,,bdscoalition.ca,0.25
